epoch,train_loss,val_loss,val_roc_auc,val_pr_auc,val_threshold,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_balanced_accuracy,val_specificity,val_fpr,val_fnr,val_mcc,val_f1,val_precision,val_recall,val_support_pos,val_support_neg
1,1.4493846167560442,0.46805458742604594,0.9963944642323211,0.9935577967836922,0.5,60298,12,333533,52201,0.8829420415923093,0.7679755046982424,0.9999640228454931,3.597715450688812e-05,0.4640130134490084,0.6806722053462252,0.6978571717908211,0.999801028021887,0.5359869865509915,112499,333545
2,0.45295750601565987,0.2826187959478355,0.9985624280583181,0.9961917043281198,0.5,110318,4666,328879,2181,0.9846494964622324,0.983312022047557,0.9860108830892383,0.013989116910761667,0.019386838994124394,0.9597035039731726,0.969901047550806,0.9594204411048494,0.9806131610058756,112499,333545
3,0.30201407388153445,0.14429085972929978,0.9970092716846809,0.9890121194524434,0.5,112251,10596,322949,248,0.9756884970989409,0.9830138542653688,0.9682321725704178,0.031767827429582216,0.002204464039680353,0.9391288749385989,0.9539231599432325,0.9137463674326601,0.9977955359603197,112499,333545
4,0.231784262512447,0.10017360010525529,0.9995280234004625,0.9990039239598895,0.5,112295,4839,328706,204,0.9886939405081113,0.9918394314965511,0.9854922124450973,0.014507787554902637,0.001813349451995129,0.9707890339906923,0.9780388707198008,0.9586883398500863,0.9981866505480048,112499,333545
5,0.2664862164571742,0.099038171949948,0.9996562354461996,0.999309994280447,0.5,112312,6080,327465,187,0.9859498166100206,0.9900546690260905,0.9817715750498434,0.01822842495015665,0.0016622369976622014,0.963958828393608,0.9728573222862736,0.9486451787282925,0.9983377630023378,112499,333545
6,0.13978099790240497,0.05967945784739508,0.9996703647730842,0.9993185898919467,0.5,112238,3703,329842,261,0.9911129843692551,0.9932890145580053,0.9888980497384161,0.011101950261583894,0.0023200206224055324,0.9768766556440652,0.982647522325337,0.9680613415444063,0.9976799793775945,112499,333545
7,0.1508957427260934,0.05474915761042362,0.9997012652128167,0.9993917150533,0.5,112026,1211,332334,473,0.9962245877088359,0.9960824118366985,0.9963693054910132,0.0036306945089867935,0.004204481817616157,0.9900222842290323,0.9925399581812383,0.9893056156556602,0.9957955181823839,112499,333545
8,0.09812384241579829,0.03433463192498941,0.9997577382014363,0.9995393363800623,0.5,112198,2789,330756,301,0.9930724323160943,0.9944813651674371,0.9916383096733574,0.008361690326642583,0.0026755793384830085,0.9818738965898236,0.9864167465250608,0.9757450842269126,0.9973244206615169,112499,333545
9,0.10722989526766978,0.03894810225067039,0.9997282071310011,0.9994302528617364,0.5,112157,4528,329017,342,0.9890817946211584,0.9916922966718026,0.9864246203660676,0.013575379633932454,0.003040027022462422,0.9717010350951559,0.9787506981290143,0.9611946694090928,0.9969599729775376,112499,333545
10,0.10838161938060138,0.045352554853894354,0.9998630965026947,0.9996182035321419,0.5,112124,593,332952,375,0.9978298105119674,0.9974443829924458,0.9982221289481179,0.001777871051882055,0.0033333629632263397,0.994251186357906,0.9957019039499858,0.9947390367025382,0.9966666370367736,112499,333545
